freq,stk_flow,sitc06,currency,partner,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,DK	26.223 	28.44 	23.95 	26.932 	31.299 	50.965 	41.966 	22.237 	17.558 	16.512 	21.442 	26.64 	25.117 	23.48 	28.439 	31.175 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,EE	1.298 	0.519 	0.853 	0.973 	0.917 	1.722 	1.201 	1.094 	1.322 	1.394 	1.446 	1.789 	1.429 	1.872 	4.984 	31.687 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,EL	2.498 	1.607 	4.759 	3.11 	3.288 	1.864 	2.731 	1.571 	0.976 	2.536 	3.898 	2.72 	3.313 	6.536 	2.667 	3.774 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,ES	89.709 	93.382 	93.91 	96.343 	130.665 	89.896 	146.724 	143.534 	149.897 	130.189 	408.033 	502.7 	390.228 	445.992 	748.586 	456.722 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,EU27_2020	1493.033 	1674.236 	1922.243 	1562.742 	1408.634 	1678.443 	2256.424 	2056.89 	2027.39 	2094.417 	2434.12 	2582.464 	2781.527 	3168.886 	3890.471 	4192.112 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,FI	22.755 	26.286 	34.47 	27.331 	32.21 	38.98 	55.469 	54.906 	57.809 	55.401 	52.506 	52.785 	59.112 	53.031 	75.148 	89.906 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,FR	97.158 	109.69 	110.867 	104.802 	70.105 	62.502 	56.762 	63.227 	100.864 	90.414 	55.887 	73.453 	71.371 	79.226 	63.07 	60.061 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,HR	29.463 	30.173 	46.896 	39.941 	45.367 	70.638 	106.229 	105.109 	89.716 	197.21 	105.249 	118.805 	54.952 	108.247 	132.046 	146.31 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,HU	9.922 	5.518 	7.44 	9.658 	6.103 	10.506 	11.302 	12.427 	11.853 	11.569 	19.962 	13.765 	25.481 	29.749 	36.697 	35.973 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,IE	2.169 	0.811 	1.305 	1.037 	1.238 	1.423 	0.661 	0.85 	1.276 	0.91 	7.91 	7.526 	1.506 	0.191 	0.301 	0.169 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,IS	: 	: 	: 	: 	: 	: 	: 	: 	0.006 	0.004 	0 	0.01 	0.039 	0.001 	0.017 	0.015 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,IT	301.832 	323.894 	347.869 	361.932 	307.302 	355.098 	425.373 	422.695 	403.955 	414.476 	381.966 	393.431 	381.132 	382.561 	569.613 	673.467 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,LT	3.432 	5.029 	2.508 	4.021 	2.867 	3.124 	3.933 	3.89 	5.39 	8.469 	39.38 	5.942 	3.792 	5.375 	4.486 	10.232 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,LU	0.027 	0.089 	0.042 	0.061 	0.855 	0.63 	0.273 	0.135 	0.313 	0.042 	0.003 	0.014 	0.039 	0.215 	0.026 	0.031 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,LV	0.023 	0.349 	1.068 	1.16 	1.328 	2.591 	2.658 	1.649 	0.397 	0.447 	0.445 	0.673 	0.848 	0.188 	0.585 	6.525 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,MT	0.008 	0.015 	0.135 	0.41 	3.363 	3.465 	1.967 	2.183 	0.982 	0.394 	0.181 	0.375 	0.102 	0.01 	0.362 	0.069 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,NL	4.257 	0.388 	0.692 	10.714 	25.261 	22.403 	25.833 	37.763 	38.364 	39.707 	37.713 	41.317 	40.966 	58.174 	79.284 	84.657 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,NO	: 	: 	: 	: 	: 	: 	: 	: 	176.362 	130.897 	260.069 	199.457 	153.953 	198.483 	216.054 	356.493 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,PL	110.894 	122.364 	122.622 	84.973 	18.085 	14.9 	29.844 	33.339 	78.948 	153.559 	49.822 	76.404 	107.83 	48.527 	71.191 	926.859 
A,EXP,ARM,MIO_EUR,EXT_EU27_2020,PT	17.501 	23.138 	42.163 	27.342 	23.151 	24.522 	29.969 	42.25 	40.803 	38.603 	34.512 	31.293 	34.558 	33.395 	40.084 	49.279 
